TID,GID,gene_symbol
ENST00000634615,ENSG00000282848,MYO16
ENST00000636552,ENSG00000282937,PRSS22
ENST00000634552,ENSG00000282937,PRSS22
ENST00000634511,ENSG00000282937,PRSS22
ENST00000634299,ENSG00000282937,PRSS22
ENST00000633076,ENSG00000283478,PRAMEF15
ENST00000638044,ENSG00000283478,PRAMEF15
ENST00000632024,ENSG00000282513,FMN1
ENST00000631811,ENSG00000282513,FMN1
ENST00000633180,ENSG00000282513,FMN1
ENST00000631756,ENSG00000282513,FMN1
ENST00000632396,ENSG00000282513,FMN1
ENST00000632613,ENSG00000282513,FMN1
ENST00000632025,ENSG00000282513,FMN1
ENST00000631673,ENSG00000282513,FMN1
ENST00000633118,ENSG00000282513,FMN1
ENST00000631469,ENSG00000282513,FMN1
ENST00000633355,ENSG00000282513,FMN1
ENST00000633316,ENSG00000282513,FMN1
ENST00000635607,ENSG00000283017,ERC1
ENST00000635703,ENSG00000283017,ERC1
ENST00000634365,ENSG00000283017,ERC1
ENST00000634904,ENSG00000283017,ERC1
ENST00000634346,ENSG00000283017,ERC1
ENST00000635535,ENSG00000283017,ERC1
ENST00000635345,ENSG00000283017,ERC1
ENST00000635459,ENSG00000283017,ERC1
ENST00000635430,ENSG00000283017,ERC1
ENST00000635679,ENSG00000283017,ERC1
ENST00000634310,ENSG00000283017,ERC1
ENST00000634945,ENSG00000283017,ERC1
ENST00000635644,ENSG00000283017,ERC1
ENST00000635106,ENSG00000283017,ERC1
ENST00000635531,ENSG00000283017,ERC1
ENST00000635316,ENSG00000283017,ERC1
ENST00000635207,ENSG00000283017,ERC1
ENST00000635697,ENSG00000283017,ERC1
ENST00000634275,ENSG00000283017,ERC1
ENST00000635646,ENSG00000283017,ERC1
ENST00000634381,ENSG00000283017,ERC1
ENST00000635498,ENSG00000283017,ERC1
ENST00000634786,ENSG00000283017,ERC1
ENST00000635256,ENSG00000283017,ERC1
ENST00000635171,ENSG00000283017,ERC1
ENST00000636032,ENSG00000283670,AC225828.1
ENST00000636141,ENSG00000282981,AC254847.1
ENST00000634534,ENSG00000282981,AC254847.1
ENST00000635122,ENSG00000282981,AC254847.1
ENST00000634752,ENSG00000282945,CMTR2
ENST00000638004,ENSG00000283284,CYP2D6
ENST00000637047,ENSG00000283353,FRG2
ENST00000637489,ENSG00000283358,CT476828.10
ENST00000636642,ENSG00000283642,CT476828.22
ENST00000638067,ENSG00000283424,CT476828.15
ENST00000637739,ENSG00000283466,CT476828.16
ENST00000637211,ENSG00000283470,CT476828.17
ENST00000636684,ENSG00000283322,CT476828.8
ENST00000637509,ENSG00000283144,CT476828.1
ENST00000635972,ENSG00000283362,CT476828.11
ENST00000635732,ENSG00000283261,CT476828.5
ENST00000637972,ENSG00000283520,CT476828.18
ENST00000636326,ENSG00000283520,CT476828.18
ENST00000637546,ENSG00000283548,CT476828.19
ENST00000637558,ENSG00000283600,HM190170.1
ENST00000637690,ENSG00000283140,AC255093.1
ENST00000637057,ENSG00000283140,AC255093.1
ENST00000637902,ENSG00000283373,AC255093.2
ENST00000637496,ENSG00000283596,AC017081.3
ENST00000620643,ENSG00000278427,KIR3DL1
ENST00000615797,ENSG00000276299,PRAMEF25
ENST00000613343,ENSG00000278327,KIR2DL3
ENST00000611783,ENSG00000262594,KRTAP9-9
ENST00000610858,ENSG00000262594,KRTAP9-9
ENST00000617021,ENSG00000262594,KRTAP9-9
ENST00000617665,ENSG00000275545,KIR3DL1
ENST00000619411,ENSG00000278856,KIR3DL1
ENST00000610376,ENSG00000278307,TAS2R19
ENST00000615752,ENSG00000276329,KIR3DL1
ENST00000618436,ENSG00000276329,KIR3DL1
ENST00000622627,ENSG00000276590,KIR2DL3
ENST00000625886,ENSG00000277273,CDK7
ENST00000618560,ENSG00000277272,KIR3DL1
ENST00000614904,ENSG00000277398,LILRA1
ENST00000613816,ENSG00000274920,KIR3DL1
ENST00000620925,ENSG00000274108,KIR2DL3
ENST00000614238,ENSG00000274948,KIR3DL1
ENST00000615258,ENSG00000274948,
ENST00000622825,ENSG00000273518,KIR3DL1
ENST00000613279,ENSG00000276534,KIR3DS1
ENST00000619018,ENSG00000278368,KIR3DL1
ENST00000614843,ENSG00000231372,MICB
ENST00000616840,ENSG00000277484,KIR2DL3
ENST00000621438,ENSG00000277484,KIR2DL3
ENST00000622741,ENSG00000274243,GU182357.6
ENST00000612295,ENSG00000277554,KIR2DL3
ENST00000616745,ENSG00000274410,KIR2DL3
ENST00000615693,ENSG00000274036,KIR3DL1
ENST00000618016,ENSG00000274036,KIR3DL1
ENST00000616945,ENSG00000274036,KIR3DL1
ENST00000622758,ENSG00000273947,KIR2DL3
ENST00000612391,ENSG00000277175,KIR3DL1
ENST00000622307,ENSG00000275658,KIR2DL3
ENST00000617542,ENSG00000275658,KIR2DL3
ENST00000618446,ENSG00000275658,KIR2DL3
ENST00000615312,ENSG00000275717,KIR3DL1
ENST00000617464,ENSG00000276423,KIR3DL1
ENST00000621841,ENSG00000275838,KIR3DL2
ENST00000610900,ENSG00000276459,KIR2DL3
ENST00000617536,ENSG00000276676,KIR2DS5
ENST00000620836,ENSG00000276501,KIR3DL1
ENST00000613222,ENSG00000275525,LILRA1
ENST00000621398,ENSG00000275288,KIR3DL1
ENST00000621037,ENSG00000277317,KIR2DL3
ENST00000612129,ENSG00000278738,KIR2DL1
ENST00000611562,ENSG00000275434,KIR3DS1
ENST00000617337,ENSG00000275434,KIR3DS1
ENST00000620343,ENSG00000278079,KIR3DL1
ENST00000610506,ENSG00000274839,PRB4
ENST00000620579,ENSG00000275786,KIR3DL1
ENST00000616314,ENSG00000263097,TAS2R31
ENST00000610484,ENSG00000277924,KIR2DL3
ENST00000611181,ENSG00000275486,KIR3DL1
ENST00000611993,ENSG00000275486,KIR3DL1
